Using device: mps
Using device: mps

=== Training SAC on HalfCheetah-v5 (seed=0) ===
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 143: Reward = 698.39
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 144: Reward = 770.97
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 145: Reward = 766.39
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 146: Reward = 792.77
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 147: Reward = 763.45
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 148: Reward = 781.27
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 149: Reward = 706.16
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 150: Reward = 716.11
Evaluation reward (episode 150): 1187.29
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 151: Reward = 756.79
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 152: Reward = 699.20
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 153: Reward = 763.93
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 154: Reward = 776.02
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 155: Reward = 747.05
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 156: Reward = 732.88
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 157: Reward = 737.81
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 158: Reward = 751.10
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 159: Reward = 768.78
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 160: Reward = 757.43
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 161: Reward = 727.04
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 162: Reward = 805.08
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 163: Reward = 786.85
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 164: Reward = 742.74
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 165: Reward = 677.71
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 166: Reward = 831.83
